file,datetime,uploaddir,sampratedir
HOF-IW0006S5.dat,2022-04-21 20:00:00,20220603,
Absolute Sensors5.dat,2022-04-22 00:00:00,20220603,
HOF-IW0006I6.dat,2022-04-22 04:00:00,20220603,
Absolute Sensors6.dat,2022-04-22 04:00:00,20220603,
HOF-IW0006I7.dat,2022-04-22 08:00:00,20220603,
Absolute Sensors7.dat,2022-04-22 08:00:00,20220603,
Absolute Sensors8.dat,2022-04-22 12:00:00,20220603,
HOF-IW0006I8.dat,2022-04-22 12:00:00,20220603,
HOF-IW0006I9.dat,2022-04-22 16:00:00,20220603,
Absolute Sensors9.dat,2022-04-22 16:00:00,20220603,
HOF-IW0006I10.dat,2022-04-22 20:00:00,20220603,
Absolute Sensors10.dat,2022-04-22 20:00:00,20220603,
HOF-IW0006I11.dat,2022-04-23 00:00:00,20220603,
Absolute Sensors11.dat,2022-04-23 00:00:00,20220603,
Absolute Sensors12.dat,2022-04-23 04:00:00,20220603,
HOF-IW0006S13.dat,2022-04-23 04:00:00,20220603,
HOF-IW0006I12.dat,2022-04-23 04:00:00,20220603,
Absolute Sensors13.dat,2022-04-23 08:00:00,20220603,
HOF-IW0006I13.dat,2022-04-23 08:00:00,20220603,
HOF-IW0006S14.dat,2022-04-23 08:00:00,20220603,
HOF-IW0006I14.dat,2022-04-23 12:00:00,20220603,
Absolute Sensors14.dat,2022-04-23 12:00:00,20220603,
HOF-IW0006I15.dat,2022-04-23 16:00:00,20220603,
Absolute Sensors15.dat,2022-04-23 16:00:00,20220603,
Absolute Sensors16.dat,2022-04-23 20:00:00,20220603,
HOF-IW0006S17.dat,2022-04-23 20:00:00,20220603,
HOF-IW0006I16.dat,2022-04-23 20:00:00,20220603,
HOF-IW0006I17.dat,2022-04-24 00:00:00,20220603,
Absolute Sensors17.dat,2022-04-24 00:00:00,20220603,
HOF-IW0006S18.dat,2022-04-24 00:00:00,20220603,
Absolute Sensors18.dat,2022-04-24 04:00:00,20220603,
HOF-IW0006S20.dat,2022-04-24 08:00:00,20220603,
HOF-IW0006I19.dat,2022-04-24 08:00:00,20220603,
Absolute Sensors19.dat,2022-04-24 08:00:00,20220603,
Absolute Sensors20.dat,2022-04-24 12:00:00,20220603,
HOF-IW0006S21.dat,2022-04-24 12:00:00,20220603,
HOF-IW0006I20.dat,2022-04-24 12:00:00,20220603,
Absolute Sensors21.dat,2022-04-24 16:00:00,20220603,
